block,nonce
0,4
1,4
2,11
3,14
4,26
5,32
6,35
7,43
8,44
9,52
10,54
11,59
12,12
13,60
14,62
15,10
16,11
17,13
18,18
19,22
20,32
21,37
22,48
23,49
24,63
25,65
26,5
27,16
28,9
29,13
30,33
31,41
32,54
33,56
34,71
35,77
36,80
37,87
38,7
39,9
40,14
41,18
42,21
43,22
44,30
45,33
46,36
47,48
48,55
49,58
50,63
51,68
52,86
53,97
54,98
55,115
56,116
57,122
58,130
59,131
60,140
61,146
62,148
63,159
64,6
65,161
66,167
67,173
68,180
69,181
70,188
71,198
72,199
73,1
74,3
75,4
76,11
77,14
78,15
79,3
80,4
81,5
82,11
83,16
84,21
85,25
86,26
87,32
88,33
89,34
90,35
91,42
92,47
93,48
94,50
95,55
96,58
97,62
98,67
99,69
100,77
101,78
102,84
103,85
104,111
105,121
106,122
107,135
108,138
109,143
110,164
111,167
112,170
113,171
114,174
115,175
116,177
117,184
118,191
119,196
120,204
121,209
122,218
123,223
124,233
125,237
126,244
127,6
128,9
129,12
130,21
131,10
132,32
133,33
134,35
135,36
136,39
137,41
138,44
139,45
140,77
141,78
142,83
143,92
144,114
145,135
146,136
147,138
148,140
149,145
150,166
151,174
152,183
153,185
154,189
155,196
156,203
157,210
158,212
159,213
160,214
161,217
162,219
163,12
164,8
165,1
166,1
167,4
168,3
169,1
170,2
171,14
172,6
173,21
174,19
175,7
176,18
177,22
178,5
179,22
180,31
181,40
182,41
183,42
184,2
185,17
186,2
187,26
188,3
189,11
190,10
191,33
192,13
193,15
194,17
195,26
196,28
197,31
198,36
199,48
200,56
201,59
202,60
203,68
204,13
205,70
206,14
207,84
208,88
209,90
210,18
211,91
212,92
213,103
214,109
215,118
216,131
217,133
218,148
219,150
220,154
221,158
222,161
223,163
224,172
225,177
226,189
227,197
228,199
229,201
230,202
231,212
232,214
233,216
234,220
235,9
236,7
237,221
238,226
239,227
240,11
241,228
242,245
243,252
244,253
245,254
246,256
247,261
248,266
249,277
250,279
251,281
252,286
253,290
254,297
255,304
256,306
257,310
258,317
259,334
260,342
261,344
262,349
263,354
264,361
265,36
266,37
267,38
268,14
269,369
270,376
271,378
272,381
273,392
274,393
275,397
276,2
277,7
278,48
279,8
280,9
281,13
282,17
283,23
284,28
285,43
286,51
287,59
288,61
289,63
290,67
291,73
292,79
293,82
294,90
295,93
296,38
297,94
298,96
299,100
300,106
301,111
302,112
303,122
304,130
305,136
306,148
307,160
308,166
309,36
310,168
311,53
312,176
313,177
314,186
315,189
316,200
317,128
318,212
319,216
320,87
321,218
322,221
323,222
324,227
325,243
326,246
327,283
328,284
329,96
330,298
331,299
332,308
333,312
334,78
335,313
336,319
337,326
338,330
339,332
340,335
341,343
342,346
343,347
344,354
345,357
346,359
347,366
348,368
349,372
350,376
351,401
352,402
353,403
354,405
355,418
356,424
357,124
358,430
359,433
360,75
361,12
362,437
363,445
364,453
365,459
366,461
367,462
368,465
369,471
370,480
371,481
372,23
373,482
374,498
375,503
376,509
377,513
378,522
379,524
380,526
381,533
382,535
383,545
384,547
385,560
386,569
387,571
388,572
389,574
390,591
391,599
392,601
393,609
394,9
395,610
396,615
397,617
398,623
399,627
400,629
401,636
402,638
403,641
404,643
405,672
406,690
407,22
408,699
409,702
410,709
411,710
412,716
413,64
414,738
415,739
416,740
417,132
418,748
419,70
420,749
421,43
422,750
423,760
424,763
425,767
426,773
427,793
428,807
429,820
430,822
431,146
432,831
433,48
434,847
435,857
436,859
437,866
438,876
439,54
440,878
441,886
442,157
443,890
444,898
445,903
446,905
447,907
448,908
449,920
450,165
451,943
452,948
453,952
454,953
455,955
456,967
457,975
458,977
459,979
460,980
461,76
462,982
463,190
464,984
465,80
466,990
467,991
468,1001
469,1013
470,1017
471,1019
472,1023
473,88
474,1026
475,1035
476,1039
477,1042
478,1043
479,1054
480,1060
481,1073
482,1074
483,1075
484,1077
485,17
486,1080
487,1101
488,1102
489,1114
490,133
491,1117
492,1119
493,108
494,1120
495,1122
496,1134
497,1137
498,1138
499,1142
500,1145
501,6
502,1146
503,1154
504,1160
505,1167
506,11
507,1176
508,1179
509,125
510,1182
511,1187
512,240
513,1196
514,1199
515,1201
516,1210
517,1211
518,1221
519,1229
520,1242
521,137
522,1271
523,1274
524,1275
525,1276
526,1277
527,1284
528,173
529,1294
530,1314
531,1315
532,1319
533,1324
534,1361
535,1366
536,1367
537,1369
538,1374
539,1383
540,1384
541,158
542,1385
543,1388
544,1399
545,1404
546,1425
547,1426
548,1433
549,1435
550,1439
551,1444
552,1451
553,1473
554,1474
555,1478
556,1488
557,1494
558,1501
559,1511
560,1512
561,1514
562,183
563,296
564,1515
565,1516
566,1531
567,110
568,1538
569,1539
570,1542
571,1543
572,1552
573,1553
574,1554
575,308
576,1563
577,1586
578,1590
579,1594
580,1599
581,1601
582,1602
583,1606
584,1612
585,1618
586,1629
587,1659
588,1665
589,1666
590,1672
591,214
592,1675
593,1676
594,1691
595,1695
596,12
597,1699
598,334
599,1709
600,1711
601,1713
602,1721
603,1734
604,22
605,1739
606,1747
607,15
608,1749
609,1750
610,1757
611,1758
612,1761
613,30
614,350
615,1764
616,1767
617,1770
618,1781
619,1782
620,1790
621,1791
622,1792
623,1799
624,1
625,1800
626,1805
627,1814
628,1815
629,1818
630,1820
631,1821
632,1829
633,1833
634,51
635,1834
636,1839
637,1849
638,1855
639,1859
640,1860
641,1862
642,1866
643,1867
644,59
645,1874
646,1882
647,1887
648,1902
649,1905
650,1920
651,21
652,1929
653,1934
654,1946
655,1947
656,1958
657,1975
658,394
659,1977
660,7
661,13
662,20
663,21
664,25
665,80
666,43
667,35
668,36
669,41
670,61
671,69
672,72
673,88
674,75
675,87
676,90
677,97
678,98
679,103
680,104
681,107
682,116
683,118
684,128
685,55
686,145
687,16
688,152
689,170
690,171
691,173
692,181
693,192
694,197
695,233
696,248
697,254
698,257
699,28
700,265
701,279
702,31
703,281
704,285
705,289
706,291
707,78
708,292
709,312
710,314
711,317
712,5
713,36
714,9
715,11
716,12
717,15
718,16
719,18
720,91
721,33
722,46
723,47
724,49
725,51
726,56
727,53
728,100
729,57
730,16
731,65
732,67
733,72
734,73
735,79
736,83
737,86
738,90
739,33
740,131
741,121
742,126
743,139
744,140
745,148
746,150
747,158
748,40
749,159
750,160
751,162
752,124
753,165
754,170
755,179
756,182
757,43
758,185
759,195
760,151
761,196
762,198
763,199
764,201
765,213
766,220
767,53
768,225
769,240
770,241
771,244
772,66
773,59
774,251
775,255
776,257
777,149
778,278
779,287
780,288
781,289
782,113
783,293
784,317
785,321
786,117
787,111
788,112
789,323
790,324
791,329
792,341
793,343
794,347
795,360
796,367
797,372
798,382
799,383
800,387
801,394
802,395
803,175
804,397
805,403
806,412
807,415
808,423
809,95
810,435
811,180
812,448
813,20
814,100
815,456
816,458
817,459
818,465
819,191
820,474
821,10
822,475
823,481
824,110
825,484
826,486
827,487
828,114
829,491
830,199
831,494
832,507
833,512
834,544
835,549
836,550
837,552
838,554
839,557
840,571
841,573
842,214
843,582
844,212
845,588
846,596
847,602
848,613
849,625
850,37
851,633
852,635
853,642
854,656
855,657
856,662
857,663
858,226
859,672
860,677
861,684
862,687
863,696
864,714
865,719
866,234
867,722
868,727
869,241
870,746
871,757
872,771
873,783
874,785
875,789
876,791
877,798
878,804
879,817
880,836
881,848
882,849
883,856
884,858
885,177
886,861
887,250
888,862
889,866
890,887
891,890
892,893
893,901
894,918
895,922
896,928
897,930
898,932
899,262
900,938
901,939
902,941
903,953
904,959
905,112
906,972
907,270
908,973
909,974
910,978
911,979
912,982
913,120
914,985
915,276
916,986
917,992
918,995
919,1003
920,1004
921,1007
922,1012
923,110
924,1020
925,1024
926,1028
927,116
928,1032
929,1040
930,1044
931,1049
932,1055
933,1060
934,1063
935,221
936,1065
937,1070
938,1073
939,1084
940,226
941,302
942,1087
943,1089
944,1093
945,232
946,1097
947,1098
948,1106
949,236
950,1108
951,1113
952,1118
953,1126
954,1130
955,157
956,164
957,1137
958,306
959,246
960,1148
961,1149
962,1157
963,1158
964,165
965,1160
966,314
967,1176
968,1184
969,1194
970,1197
971,1198
972,1199
973,1205
974,1222
975,1225
976,1226
977,1229
978,1230
979,178
980,1237
981,1241
982,1246
983,1247
984,42
985,1251
986,176
987,1253
988,347
989,1257
990,1259
991,1264
992,279
993,349
994,193
995,1272
996,195
997,1274
998,56
999,286
1000,1277
1001,1279
1002,1305
1003,290
1004,1306
1005,1314
1006,1325
1007,1332
1008,1333
1009,1342
1010,207
1011,1343
1012,1344
1013,1346
1014,222
1015,1353
1016,1360
1017,1379
1018,366
1019,1421
1020,1423
1021,1430
1022,1431
1023,378
1024,1439
1025,373
1026,1440
1027,223
1028,383
1029,1441
1030,1445
1031,89
1032,1446
1033,1447
1034,1457
1035,1459
1036,1463
1037,1465
1038,1470
1039,1474
1040,1500
1041,1512
1042,390
1043,1514
1044,1519
1045,1520
1046,1524
1047,1531
1048,1535
1049,1536
1050,1538
1051,1546
1052,1548
1053,1549
1054,1552
1055,1554
1056,1562
1057,1564
1058,1569
1059,1582
1060,414
1061,415
1062,1599
1063,413
1064,1606
1065,419
1066,1616
1067,1617
1068,261
1069,1620
1070,1631
1071,1636
1072,1643
1073,1654
1074,1657
1075,285
1076,1670
1077,1695
1078,1696
1079,1713
1080,1717
1081,1727
1082,1734
1083,66
1084,1736
1085,1737
1086,1742
1087,1743
1088,279
1089,1763
1090,1764
1091,301
1092,1775
1093,437
1094,444
1095,1793
1096,385
1097,1796
1098,1813
1099,1817
1100,1825
1101,1827
1102,290
1103,1832
1104,1833
1105,449
1106,1842
1107,457
1108,1843
1109,1845
1110,1848
1111,1850
1112,1851
1113,323
1114,174
1115,1858
1116,460
1117,1870
1118,1873
1119,408
1120,1878
1121,1881
1122,1885
1123,306
1124,1887
1125,414
1126,1891
1127,1893
1128,1902
1129,1904
1130,1908
1131,1911
1132,1917
1133,1927
1134,1934
1135,195
1136,196
1137,1941
1138,1945
1139,428
1140,1949
1141,1963
1142,1964
1143,493
1144,433
1145,1974
1146,1983
1147,1987
1148,1992
1149,1998
1150,328
1151,2000
1152,2002
1153,503
1154,2005
1155,2008
1156,2025
1157,2032
1158,2037
